구분,양로시설 시설수,양로시설 정원,양로시설 현원,노인공동생활가정 시설수,노인공동생활가정 정원,노인공동생활가정 현원,노인요양시설 시설수 ,노인요양시설 정원 ,노인요양시설 현원 ,노인요양공동생활가정 시설수 ,노인요양공동생활가정 정원 ,노인요양공동생활가정 현원
서울Seoul,12,1254,960,3,27,13,205,12493,12053,304,2683,2566
부산Busan,6,328,275,0,0,0,92,6163,5110,22,193,132
대구Daegu,6,473,276,0,0,0,112,6696,6138,140,1225,1175
인천Incheon,14,450,277,6,45,31,291,12812,11615,104,926,856
광주Gwangju,3,168,118,0,0,0,78,3384,2783,17,143,130
대전Daejeon,3,247,111,4,28,20,88,5652,4838,40,348,310
울산Ulsan,2,114,56,0,0,0,36,1947,1422,13,116,94
세종Sejong,3,64,36,0,0,0,11,547,454,2,18,14
경기Gyeonggi,74,4568,2583,30,243,166,1191,54244,48284,633,5347,4771
강원Gangwon,8,336,240,20,169,100,198,9248,7889,115,1025,919
충북Chungbuk,13,474,346,18,154,113,188,8347,7650,108,955,842
충남Chungnam,8,316,178,11,90,59,208,9588,8121,101,890,768
전북Jeonbuk,20,1032,852,8,72,42,163,7418,6458,65,554,489
전남Jeonnam,17,747,549,7,55,28,220,8729,7594,91,813,711
경북Gyeongbuk,28,1253,790,5,45,25,269,12966,10541,121,1061,939
경남Gyeongnam,13,1122,614,3,26,13,189,10205,8803,49,427,358
제주Jeju,2,90,79,0,0,0,56,3576,3214,9,81,79
