구분,구별,읍면동,설치지번주소,데이터기준일,,,,,,
1,상당구,가덕면,내암리 62-1,2022-12-12,,,,,,
21,상당구,가덕면,노동리 134-1,2022-12-12,,,,,,
22,상당구,가덕면,병암리 118-13,2022-12-12,,,,,,
23,상당구,가덕면,상대리 100,2022-12-12,,,,,,
40,상당구,가덕면,국전리 294-2,2022-12-12,,,,,,
41,상당구,가덕면,계산리 91-5,2022-12-12,,,,,,
42,상당구,가덕면,계산리 188-1,2022-12-12,,,,,,
72,상당구,가덕면,국전리 294-2,2022-12-12,,,,,,
73,상당구,가덕면,계산리 91-5,2022-12-12,,,,,,
74,상당구,가덕면,"노동리 495, 502",2022-12-12,,,,,,
75,상당구,가덕면,금거리 52-3,2022-12-12,,,,,,
76,상당구,가덕면,상대리 157-1,2022-12-12,,,,,,
88,상당구,가덕면,상대길 10-4,2022-12-12,,,,,,
2,상당구,남일면,고은리 548-1,2022-12-12,,,,,,
3,상당구,남일면,송암리 201-1,2022-12-12,,,,,,
24,상당구,남일면,고은리 86-1,2022-12-12,,,,,,
25,상당구,남일면,고은리 127 인근,2022-12-12,,,,,,
26,상당구,남일면,송암리 589,2022-12-12,,,,,,
77,상당구,남일면,은행리 372-1,2022-12-12,,,,,,
89,상당구,남일면,송암리 201-1,2022-12-12,,,,,,
100,상당구,남일면,신송리 174-2,2022-12-12,,,,,,
4,상당구,낭성면,추정리 454,2022-12-12,,,,,,
63,상당구,낭성면,귀래리 113-4,2022-12-12,,,,,,
64,상당구,낭성면,귀래리 152-5,2022-12-12,,,,,,
65,상당구,낭성면,호정리 459-3,2022-12-12,,,,,,
66,상당구,낭성면,호정리 529-1,2022-12-12,,,,,,
67,상당구,낭성면,지산리 569,2022-12-12,,,,,,
78,상당구,문의면,마동리 79-2,2022-12-12,,,,,,
79,상당구,문의면,"소전리 409-1, 409-2",2022-12-12,,,,,,
5,상당구,미원면,가양리 272,2022-12-12,,,,,,
6,상당구,미원면,구방리 105-14,2022-12-12,,,,,,
7,상당구,미원면,대덕리 152-5,2022-12-12,,,,,,
8,상당구,미원면,어암리 33-1,2022-12-12,,,,,,
9,상당구,미원면,어암리 219-4,2022-12-12,,,,,,
10,상당구,미원면,어암리 511-1,2022-12-12,,,,,,
11,상당구,미원면,옥화리 109-1,2022-12-12,,,,,,
12,상당구,미원면,월용리 292,2022-12-12,,,,,,
13,상당구,미원면,중리 44,2022-12-12,,,,,,
27,상당구,미원면,미원리 534-1,2022-12-12,,,,,,
39,상당구,미원면,미원리 560-14,2022-12-12,,,,,,
61,상당구,미원면,미원리 572-12,2022-12-12,,,,,,
62,상당구,미원면,종암리 98,2022-12-12,,,,,,
80,상당구,미원면,화원리 448,2022-12-12,,,,,,
81,상당구,미원면,내산리 285-5,2022-12-12,,,,,,
82,상당구,미원면,운교리 173,2022-12-12,,,,,,
83,상당구,미원면,종암리 304,2022-12-12,,,,,,
97,상당구,미원면,미원리 433-17,2022-12-12,,,,,,
98,상당구,미원면,미원리 433-13,2022-12-12,,,,,,
99,상당구,미원면,미원리 481-1,2022-12-12,,,,,,
14,상당구,성안동,서운동21-7,2022-12-12,,,,,,
